"","X","Name","Location","Year","Kilometers_Driven","Owner_Type","Mileage","Engine","Power","Seats","New_Price","Price","Fuel_TypeDiesel","Fuel_TypePetrol","TransmissionAutomatic","TransmissionManual","Age","Annual_Value_Loss"
"1",1,"Hyundai Creta 1.6 CRDi SX Option","Pune",2015,41000,"First",19.67,1582,126.2,5,20.9168341708543,12.5,1,0,0,1,9,0.935203796761586
"2",3,"Maruti Ertiga VDI","Chennai",2012,87000,"First",20.77,1248,88.76,7,20.9168341708543,6,1,0,0,1,12,1.24306951423786
"3",4,"Audi A4 New 2.0 TDI Multitronic","Coimbatore",2013,40670,"Second",15.2,1968,140.8,5,20.9168341708543,17.74,1,0,1,0,11,0.288803106441298
"4",6,"Nissan Micra Diesel XV","Jaipur",2013,86999,"First",23.08,1461,63.1,5,20.9168341708543,3.5,1,0,0,1,11,1.58334856098675
"5",7,"Toyota Innova Crysta 2.8 GX AT 8S","Mumbai",2016,36000,"First",11.36,2755,171.5,8,21,17.5,1,0,1,0,8,0.4375
"6",8,"Volkswagen Vento Diesel Comfortline","Pune",2013,64430,"First",20.54,1598,103.6,5,20.9168341708543,5.2,1,0,0,1,11,1.4288031064413
"7",9,"Tata Indica Vista Quadrajet LS","Chennai",2012,65932,"Second",22.3,1248,74,5,20.9168341708543,1.95,1,0,0,1,12,1.58056951423786
"8",10,"Maruti Ciaz Zeta","Kochi",2018,25692,"First",21.56,1462,103.25,5,10.65,9.95,0,1,0,1,6,0.116666666666667
"9",11,"Honda City 1.5 V AT Sunroof","Kolkata",2012,60000,"First",16.8,1497,116.3,5,20.9168341708543,4.49,0,1,1,0,12,1.36890284757119
"10",12,"Maruti Swift VDI BSIV","Jaipur",2015,64424,"First",25.2,1248,74,5,20.9168341708543,5.6,1,0,0,1,9,1.70187046342825
"11",13,"Land Rover Range Rover 2.2L Pure","Delhi",2014,72000,"First",12.7,2179,187.7,5,20.9168341708543,27,1,0,1,0,10,-0.608316582914573
"12",14,"Land Rover Freelander 2 TD4 SE","Pune",2012,85000,"Second",0,2179,115,5,20.9168341708543,17.5,1,0,1,0,12,0.284736180904523
"13",15,"Mitsubishi Pajero Sport 4X4","Delhi",2014,110000,"First",13.5,2477,175.56,7,32.01,15,1,0,0,1,10,1.701
"14",16,"Honda Amaze S i-Dtech","Kochi",2016,58950,"First",25.8,1498,98.6,5,20.9168341708543,5.4,1,0,0,1,8,1.93960427135678
"15",17,"Maruti Swift DDiS VDI","Jaipur",2017,25000,"First",28.4,1248,74,5,20.9168341708543,5.99,1,0,0,1,7,2.13240488155061
"16",18,"Renault Duster 85PS Diesel RxL Plus","Kochi",2014,77469,"First",20.45,1461,83.8,5,20.9168341708543,6.34,1,0,0,1,10,1.45768341708543
"17",19,"Mercedes-Benz New C-Class C 220 CDI BE Avantgare","Bangalore",2014,78500,"First",14.84,2143,167.62,5,20.9168341708543,28,1,0,1,0,10,-0.708316582914573
"18",20,"BMW 3 Series 320d","Kochi",2014,32982,"First",22.69,1995,190,5,47.87,18.55,1,0,1,0,10,2.932
"19",21,"Maruti S Cross DDiS 200 Alpha","Bangalore",2015,55392,"Second",23.65,1248,88.5,5,20.9168341708543,8.25,1,0,0,1,9,1.40742601898381
"20",22,"Audi A6 2011-2015 35 TFSI Technology","Mumbai",2015,55985,"First",13.53,1984,177.01,5,20.9168341708543,23.5,0,1,1,0,9,-0.287018425460636
"21",23,"Hyundai i20 1.2 Magna","Kolkata",2010,45807,"First",18.5,1197,80,5,20.9168341708543,1.87,0,1,0,1,14,1.36048815506102
"22",24,"Volkswagen Vento Petrol Highline AT","Kolkata",2010,33000,"First",14.4,1598,103.6,5,20.9168341708543,2.85,0,1,1,0,14,1.29048815506102
"23",25,"Honda City Corporate Edition","Mumbai",2012,51920,"First",16.8,1497,116.3,5,20.9168341708543,4.25,0,1,0,1,12,1.38890284757119
"24",27,"Maruti Alto K10 2010-2014 VXI","Hyderabad",2013,54000,"Second",20.92,998,67.1,5,20.9168341708543,2.75,0,1,0,1,11,1.65153037916857
"25",28,"Honda WRV i-VTEC VX","Kochi",2018,37430,"First",17.5,1199,88.7,5,10.57,9.9,0,1,0,1,6,0.111666666666667
"26",29,"Toyota Innova 2.5 V Diesel 7-seater","Mumbai",2007,262000,"Fourth & Above",12.8,2494,102,7,20.9168341708543,4,1,0,0,1,17,0.995107892403193
"27",30,"Renault Duster 110PS Diesel RxZ Pack","Bangalore",2013,62000,"First",19.01,1461,108.45,5,20.9168341708543,7.75,1,0,0,1,11,1.19698492462312
"28",31,"Toyota Corolla Altis G","Delhi",2012,87615,"First",14.53,1798,138.1,5,20.9168341708543,6.75,0,1,0,1,12,1.18056951423786
"29",32,"Mahindra Ssangyong Rexton RX7","Bangalore",2013,72000,"Second",11.18,2696,184,7,20.9168341708543,12.5,1,0,1,0,11,0.765166742804934
"30",33,"Audi A6 2.7 TDI","Kolkata",2010,35000,"First",12.4,2698,179.5,5,20.9168341708543,11.5,1,0,1,0,14,0.672631012203877
"31",34,"Volkswagen Vento 1.6 Highline","Coimbatore",2014,55431,"Second",16.09,1598,103.5,5,12.33,6.98,0,1,0,1,10,0.535
"32",35,"Maruti Wagon R LXI BSIII","Jaipur",2009,83816,"Second",14,1061,64,5,20.9168341708543,1.85,0,1,0,1,15,1.27112227805695
"33",36,"Maruti Vitara Brezza ZDi Plus","Kochi",2018,50075,"First",24.3,1248,88.5,5,11.12,8.63,1,0,0,1,6,0.415
"34",37,"Mahindra KUV 100 mFALCON G80 K6 5str AW","Delhi",2017,52000,"First",18.15,1198,82,5,20.9168341708543,4.85,0,1,0,1,7,2.29526202440775
